	Jedek2	Jedek34	Jedek5	Jedek31	Jedek32	Jedek38	Jedek20	Jedek16	Jahai13	Jahai6
where?	ʔnah pãn	ʔnah pãn	ʔnah pãn	ʔnah gɛl	ʔnah pãn	?	ʔnah pãn	ʔnah pãn	ma=teʔ ba=ʔɛ̃n	teʔ ba=ʔɛ̃n
who?	kɛn	?	makɛn	cʔay bap	makɛn	?	makɛn	makɛn	makɛn	kɛn
how?	maʔancin	?	maʔancin	cʔay bap	maʔancin	?	maʔancin	paʔancin	maʔacin	maʔancin
left (side)	kiri	wɛ̃ʔ	wɛ̃ʔ	wɛ̃ʔ	wɛ̃ʔ	?	wɛ̃ʔ	ʔndaŋ	wɛ̃ʔ	wĩʔ
right (side)	kanan	tem	tem	tem	tem	?	tem	ʔadeh	tem	tem
this	nuy	ʔə̃h	ʔũh	tudeh	ʔũh	?	tudeh	tudeh	tə̃h	tə̃h
that	tũn	tũn	tũn	taniʔ	tũn	?	tũn	ton	taniʔ	tũn
here	ʔũh	ʔə̃h	ʔũh	ʔũh	ʔũh	?	ʔũh	ʔũh	pdəh	ʔə̃h
there	tũn	?	taniʔ	taniʔ	tũn	?	taniʔ	ʔaniʔ	taniʔ	ʔaniʔ
many	kɔm	kɔm	kɔm	kɔm	kɔm	?	kɔm	kɔm	kɔm	kɔm
few, some	ʔhəy	ʔhəy	ʔhəy	ʔajɔʔ	ʔhəy	?	ʔhəy	ʔajɔʔ	ʔajɔʔ	ʔhəy
all	kɔm	kɔm	kɔm	kɔm	smwaʔ	?	kɔm	kɔm	kɔm	kɔm
and	dan	?	lɔʔ	dan	dan	?	ʔalɔʔ	lɔʔ	ʔalɔʔ	lɔʔ
because	sbap	sbap	sbap	cʔay bap	sbap	?	sbap	sbap	sbap	sbap
if	kaluʔ	kalaw	kaluʔ	kaluʔ	kaluʔ	?	kaluʔ	kaluʔ	kaluʔ	kaluʔ
not	blap	blap	blap	blap	blap	?	blap	blap	braʔ	blap
other	pãw	layin	pãw	layin	da=ʔasiŋ	?	pãw	layin	layin	layin
at	?	?	lɛŋ	da=	da=	?	da=	da=	k=la=	la=
in	daləm	daləm	daləm	daləm	daləm	?	?	daləm	daləm	?
with	lɔʔ	?	lɔʔ	lɔʔ	lɔʔ	?	lɔʔ	lɔʔ	ʔalɔʔ	lɔʔ
one	satuʔ	satuʔ	nay	nay	nay	?	nay	nɛy	nɛy	nɛy
two	dwaʔ	dwaʔ	dwaʔ	dwaʔ	dwaʔ	?	dwaʔ	dwaʔ	dwaʔ	dwaʔ
three	tigaʔ	tigaʔ	tigaʔ	tigaʔ	tigaʔ	?	tigaʔ	tigaʔ	tigaʔ	tigaʔ
four	ʔmpət	ʔmpət	ʔmpət	ʔmpət	ʔmpət	?	ʔmpət	ʔmpət	ʔmpət	ʔmpət
five	limaʔ	limaʔ	limaʔ	limaʔ	limaʔ	?	limaʔ	limaʔ	limaʔ	limaʔ
