	Jedek2	Jedek34	Jedek5	Jedek31	Jedek32	Jedek38	Jedek20	Jedek16	Jahai13	Jahai6
spouse’s parent	knʔac	?	knʔac	knʔac	knʔac	knʔac	knʔac	knʔac	knʔac	knʔac
spouse’s sibling, sibling’s spouse	lamɛy	lamɛy	lamɛy	lamɛy	lamɛy	lamɛy	lamɛy	lamɛy	lamɛy	lamiy
child’s spouse’s parents	besan	bisɛn	besan	bisɛn	bisɛn	bisɛn	bisɛn	bisɛn	?	?
wife’s sister’s husband/husband’s brother’s wife	?	?	?	maduʔ	biras	biras	lamɛy	lamɛy	?	?
child’s spouse	mnsaw	wɔŋ mnantu	mnsaw	mnsaw	mnsaw	mnsaw	mnsaw	mnsaw	mnsaw	mnsaw
animal	binataŋ	?	binataŋ	mnataŋ	mnataŋ	mnataŋ	binataŋ	binataŋ	binataŋ	hɛywan hɨp
bird	kawaw	kawaw	kawaw	kawaw	kawaw	kawaw	kawaw	kawaw	kawɔ̃t	kawaw
dog	ʔasuʔ	ʔasuʔ	ʔasuʔ	ʔasuʔ	ʔasuʔ	ʔasuʔ	ʔasuʔ	ʔasuʔ	ʔɔ̃t	ʔasuʔ
fish	ʔikan	ʔikan	ʔikan	ʔikan	ʔikan	ʔikan	ʔikan	ʔikan	ʔikəʔ	ʔikan
snake	jkɔp	jkɔp	jkɔp	jkɔp	jkɔp	jkɔp	jkɔp	jkɔp	tajuʔ	jkɔp
worm	caciŋ	caciŋ	caciŋ	caciŋ	caciŋ	caciŋ	taciŋ	caciŋ	caciŋ	caciŋ
louse	tomaʔ	tomaʔ	tomaʔ	tomaʔ	tomaʔ	tomaʔ	tomaʔ	tomaʔ	ciʔ	ciʔ
feather	bulu	sɔk	sɔk kawaw	sɔk	sɔk	sɔk	sɔk kawaw	sɔk kawaw	sɔk kawɔ̃t	sayap
tail	hatɛ̃ʔ	?	hatɛ̃ʔ	hatɛ̃ʔ	hatɛ̃ʔ	hatɛ̃ʔ	hatɛ̃ʔ	hatɛ̃ʔ	hatĩʔ	hatĩʔ
wing	sayap	sayap	sayap	sayap	sayap	kɲɛŋ	sayap	sayap	sayap	sayap
egg	makɔʔ	makɔʔ	makɔʔ	makɔʔ	makɔʔ	makɔʔ	makɔʔ	makɔʔ	makɔʔ	makɔʔ
meat	dagiŋ	sɛc	sɛc	sɛc	sɛc	sɛc	sɛc	dagiŋ	sɛc	sɛc
fat (substance)	lʔəs	lʔəs	lmaʔ	toc	toc	toc	lʔəs	lʔəs	lʔəs	lʔəs
rice	nasiʔ	nasiʔ	nasiʔ	nasiʔ	nasiʔ	nasiʔ	nasiʔ	nasiʔ	nasiʔ	nasiʔ
salt	garam	gaʔəm	gaʔəm	garəm	garəm	garəm	gaʔəm	gaʔəm	gaʔəm	garəm
knife	wɛ̃s	wɛ̃s	wɛ̃s	wɛ̃s	wɛ̃s	wɛ̃s	wɛ̃s	wɛ̃s	tajiʔ	wɛ̃s
blowpipe	blaw	blaw	blaw	blaw	blaw	blaw	blaw	blaw	blaw	blaw
quiver	banɨʔ	snlɔc dɔk	banɨʔ	banɨʔ	banɨʔ	banɨʔ	banɨʔ	banɨʔ	banɨʔ	banɨʔ
spear	?	rabuk	mataʔ	mataʔ	mataʔ	mataʔ	mataʔ	mataʔ	mataʔ	mataʔ
rope	talɛŋ	talɛŋ	talɛŋ	talɛŋ	ʔawɛy	talɛŋ	talɛŋ	talɛŋ	ʔawɛy	talɛŋ
road	ha	?	ha	ha	ha	ha	ha	ha	jalən	jalən
woods	hɨp	hɨp	hɨp	hɨp	hɨp	hɨp	?	hɨp	hɨp	hɨp
river	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm
lake	tasiʔ	tasiʔ	tasiʔ	tasiʔ	tasiʔ	tasiʔ	tasiʔ	tasiʔ	tasiʔ	tasiʔ
mountain	gunuŋ	cbaʔ	gunuŋ	cbaʔ	cbaʔ	cbaʔ	cbaʔ	gunuŋ	cbaʔ	gunuŋ
